writer,num_articles,gender,last_url
Doyle Mcmanus,52,male,http://www.latimes.com/politics/la-na-pol-kamala-harris-shifting-positions-20190707-story.html
Hillary Davis,4,male,http://www.latimes.com/local/lanow/la-me-wedge-lifeguard-tower-burned-20190621-story.html
Michael Mcgough,19,male,http://www.latimes.com/opinion/enterthefray/la-ol-trump-twitter-20190710-story.html
Jon Healey,45,male,http://www.latimes.com/opinion/enterthefray/la-ol-congress-surprise-medical-bills-prescription-drugs-obamacare-20190701-story.html
Rabbi Mitchell Rocklin,1,male,http://www.latimes.com/opinion/op-ed/la-oe-rocklin-brian-buescher-20190116-story.html
Deborah Vankin,18,female,http://www.latimes.com/entertainment/arts/la-et-cm-elliott-hundley-moca-20190612-story.html
Mark Swed,20,male,http://www.latimes.com/entertainment/arts/la-et-cm-central-park-five-opera-review-20190617-story.html
Sylvie Drake,1,female,http://www.latimes.com/entertainment/arts/la-et-cm-carol-channing-remembrance-20190116-story.html
Timothy Bella,1,male,http://www.latimes.com/business/la-fi-roku-alex-jones-infowars-20190116-story.html
Joshua Macht,1,male,https://www.bostonglobe.com/ideas/2019/01/16/ideas-joshua-macht-how-podcast-juggernaut-took-off/1qOOCtQAOZZvFaNNUdqLbP/story.html
Alec Schemmel,7,male,https://dailycaller.com/2019/03/01/right-culture-candace-owens/
Jennifer Casale,7,female,https://dailycaller.com/2019/03/29/svu-makes-history/
Peter Roff,1,male,https://dailycaller.com/2019/01/15/opioid-crisis-shutdown/
Rudy Takala,5,male,https://dailycaller.com/2019/05/23/takala-first-amendment-terrorism/
Katie Venable,1,female,http://rss.cnn.com/~r/rss/cnn_topstories/~3/cSKNelaCO0A/index.html
Raul A. Reyes,9,male,http://rss.cnn.com/~r/rss/cnn_topstories/~3/WigUfQe29Yc/index.html
Lauren Kent,4,male,http://rss.cnn.com/~r/rss/cnn_topstories/~3/a7qVT-BFBP4/index.html
Lz Granderson,22,unknown,http://rss.cnn.com/~r/rss/cnn_topstories/~3/zIP4-86NE9s/index.html
Joseph Graves,1,male,http://rss.cnn.com/~r/rss/cnn_topstories/~3/d-xtKH6h_rQ/index.html
John Lee,1,male,http://rss.cnn.com/~r/rss/cnn_topstories/~3/-thJKmC6QA8/index.html
Mark Surman,1,male,http://rss.cnn.com/~r/rss/cnn_topstories/~3/hQX05z2aEbw/index.html
Jeff Brady,8,male,https://www.npr.org/2019/06/19/733800856/trump-administration-weakens-climate-plan-to-help-coal-plants-stay-open
Eric Westervelt,3,male,https://www.npr.org/2019/04/24/716398909/county-jails-struggle-with-a-new-role-as-americas-prime-centers-for-opioid-detox
Michael Sullivan,5,male,https://www.npr.org/2019/03/22/705754693/in-thailands-first-nationwide-vote-since-coup-the-generals-hold-most-of-the-card
Andrew C. Mccarthy,1,male,https://www.npr.org/2010/11/24/131564357/national-review-the-trouble-with-tsa
Deborah Tedford,1,female,https://www.npr.org/2010/02/03/123327167/lahood-backs-off-stop-driving-toyotas-remark
Pam Fessler,13,female,https://www.npr.org/2019/06/21/734143716/2020-democrats-offer-up-affordable-housing-plans-amid-surging-prices
Kathleen Schalch,1,female,https://www.npr.org/2006/09/14/6076795/highway-agency-to-require-vehicle-stability-controls
John Ydstie,1,male,https://www.npr.org/2004/08/11/3845667/u-s-highway-deaths-fell-in-2003
Sean Mcminn,3,male,https://www.npr.org/2019/01/19/686299832/i-m-falling-apart-shutdown-squeeze-tightens-for-low-wage-workers
Lindsey Feingold,10,male,https://www.npr.org/2019/07/07/712253441/the-dress-hasnt-changed-but-the-girls-have
Naomi Gingold,1,female,https://www.npr.org/2019/01/08/683339743/why-the-blueprint-for-k-pop-actually-came-from-japan
Eric Deggans,4,male,https://www.npr.org/2017/06/16/533080866/learning-the-lessons-of-tv-fatherhood
Katya Cengel,1,female,https://www.npr.org/sections/goatsandsoda/2019/01/05/680528912/how-a-mongolian-heavy-metal-band-got-millions-of-youtube-views
Dan Charles,11,male,https://www.npr.org/sections/thesalt/2019/07/01/736721302/fair-trade-helps-farmers-but-not-their-hired-workers
Casey Bond,1,male,https://www.huffingtonpost.com.au/entry/mlms-are-a-nightmare-for-women-and-everyone-they-know_au_5d15ec44e4b03d61163a044b?utm_hp_ref=au-homepage
Andrew Desiderio,112,male,https://www.politico.com/story/2019/07/09/house-dems-prep-subpoenas-for-jared-kushner-jeff-sessions-and-10-other-mueller-witnesses-1402876
Emma Anderson,21,female,https://www.politico.eu/article/trump-says-ambassador-has-not-served-the-uk-well-after-leaked-comments/
Liz Crampton,3,female,https://www.politico.com/story/2019/05/23/bank-ceo-manafort-bribe-1341226
Renato Mariotti,15,male,http://www.nytimes.com/2019/07/09/opinion/jeffrey-epstein.html
Daniel R. Depetris,1,male,https://www.politico.com/magazine/story/2019/01/14/trump-emergency-powers-congress-223974
Strobe Talbott,2,unknown,https://www.politico.eu/article/putin-rap-and-night-wolves-russia-marks-5-years-in-crimea/
Mark Lawrence Schrad,1,male,https://www.politico.com/magazine/story/2019/01/13/prohibition-women-blame-history-223972
Sam Mintz,9,male,https://www.politico.com/story/2019/04/03/boeing-ethipoia-crash-1319958
Dan Goldberg,8,male,https://www.politico.com/story/2019/05/20/mike-pence-health-care-1331705
Alexander Panetta,7,male,https://www.politico.com/story/2019/06/20/trump-trudeau-canada-1547938
Eleanor Rose,4,female,https://www.politico.eu/article/merkel-macron-balkans-serbia-kosovo/
Hannah Devlin,24,female,https://www.theguardian.com/science/2019/jul/09/goats-can-distinguish-emotions-from-each-others-calls-study
Joe Whittle,1,male,https://www.theguardian.com/us-news/2019/jan/16/water-protectors-battle-lousianas-next-pipeline
Teresa Carr,1,female,https://www.theguardian.com/society/2019/jan/16/mud-wtr-mushroom-water-coffee-health-benefits
Max Benwell,3,male,https://www.theguardian.com/technology/ng-interactive/2019/feb/20/how-to-catch-a-catfisher
Danny Leigh,2,male,https://www.theguardian.com/film/2019/jan/21/from-red-pills-to-red-white-and-blue-brexit-how-the-matrix-shaped-our-reality
Robin Diangelo,1,male,https://www.theguardian.com/commentisfree/2019/jan/16/racial-inequality-niceness-white-people
Bernie Sanders,9,male,https://www.theguardian.com/world/2019/jul/07/un-inspectors-to-verify-iran-claim-it-has-broken-nuclear-deal
John Abraham,1,male,https://www.theguardian.com/environment/climate-consensus-97-per-cent/2019/jan/16/our-oceans-broke-heat-records-in-2018-and-the-consequences-are-catastrophic
Laura Cappelle,4,female,https://www.theguardian.com/stage/2019/jun/17/inside-the-comedie-francaise-the-damned-ivo-van-hove
Michael Sainato,10,male,https://www.theguardian.com/technology/2019/jun/19/uber-lyft-female-drivers-sexual-assault
Louis Wise,2,male,https://www.theguardian.com/film/2019/jan/22/oscars-hosts-super-bowl
Sam Jordison,12,male,https://www.theguardian.com/books/booksblog/2019/jul/09/primo-levi-auschwitz-if-this-is-a-man
Michela Wrong,1,unknown,https://www.theguardian.com/world/2019/jan/16/death-ex-rwandan-spy-boss-was-political-killing-inquest-told-patrick-karegeya
James Donaghy,3,male,https://www.theguardian.com/tv-and-radio/2019/feb/11/computer-says-no-how-mr-robots-big-reveals-didnt-hack-it
Fr. Frank Pavone,2,unknown,http://www.breitbart.com/politics/2019/01/16/fr-pavone-abortion-supporters-should-re-read-roe-vs-wade/#disqus_thread
William Sanchez,217,male,https://radio.foxnews.com/2019/07/01/brandon-judd-the-cartels-control-our-border/
Jon Costantino,25,male,https://radio.foxnews.com/2019/05/15/the-todd-starnes-show-may-15th-2019/
Peter Caterina,62,male,https://radio.foxnews.com/2019/06/25/womens-soccer-legend-kristine-lilly-on-translating-success-from-the-soccer-field-to-everyday-life/
Matthew Pascarella,26,male,https://radio.foxnews.com/2019/04/10/the-whip-around-04-10-2019/
Christine Desanctis,25,female,https://radio.foxnews.com/2019/06/27/guy-benson-show-06-27-19/
Jason Bonewald,15,male,https://radio.foxnews.com/2019/06/21/blame-it-on-bigfoot/
Devon Kelly,20,male,https://radio.foxnews.com/2019/07/03/getting-in-the-summer-groove/
Thomas Byrne,21,male,https://radio.foxnews.com/2019/02/19/the-deplorable-choir-aiming-to-make-america-laugh-again/
Catey Hill,1,unknown,https://www.marketwatch.com/story/they-ditched-america-to-retire-by-the-lake-in-chile-on-about-3000-a-month-and-rarely-come-back-2019-06-03 
Debbie White,1,female,https://www.thesun.co.uk/news/9094938/austrians-told-stop-kissing-cows-bizarre-challenge-social-media-health-fears/
Mike Dawson,1,male,https://www.washingtonpost.com/opinions/2019/01/15/ohio-is-now-red-state-can-democrats-ever-take-it-back/
Isaac Stanley-Becker,3,male,http://www.latimes.com/science/sciencenow/la-sci-measles-study-vaccine-doesnt-cause-autism-20190305-story.html
David Perry,8,male,http://rss.cnn.com/~r/rss/cnn_topstories/~3/7aePBNmM8sY/index.html
John Schwartz,2,male,http://www.nytimes.com/2019/07/06/climate/nashville-floods-buybacks.html
Miriam Jordan,9,female,http://www.nytimes.com/2019/06/19/us/politics/trump-immigration-deportation-family-separation.html
William J. Broad,6,male,https://www.nytimes.com/2019/05/12/science/5g-phone-safety-health-russia.html
Monica Davey,12,female,https://www.nytimes.com/2019/04/25/us/flint-water-crisis.html
Gideon Lewis-Kraus,2,male,http://www.nytimes.com/2019/01/17/magazine/ancient-dna-paleogenomics.html
Pankaj Mishra,2,unknown,http://www.nytimes.com/2019/01/17/opinion/sunday/brexit-ireland-empire.html
Erin Aubry Kaplan,12,male,http://www.latimes.com/opinion/op-ed/la-oe-kaplan-inequality-race-20190709-story.html
Lara Bazelon,7,female,https://www.nytimes.com/2019/06/29/opinion/sunday/ive-picked-my-job-over-my-kids.html
Edoardo Siani,1,unknown,https://www.nytimes.com/2019/01/17/opinion/thailand-king.html
Hayley Krischer,1,female,https://www.nytimes.com/2019/01/16/style/clogs-no-6-moms.html
Dakota Smith,21,male,http://www.latimes.com/local/california/la-me-ln-homeless-skid-row-encampment-mitchell-case-settlement-property-20190705-story.html
Garry South,1,male,http://www.latimes.com/opinion/op-ed/la-oe-south-california-wont-form-a-third-party-20190117-story.html
Frank Shyong,16,male,http://www.latimes.com/local/lanow/la-me-fireworks-fourth-of-july-los-angeles-20190701-story.html
Rick Schultz,3,male,http://www.latimes.com/entertainment/arts/la-et-cm-joshua-bell-steven-isserlis-jeremy-denk-review-20190509-story.html
Jonathan O Connell,2,male,http://www.latimes.com/politics/la-na-pol-trump-hotel-lawsuit-20190319-story.html
Susan Straight,1,female,http://www.latimes.com/books/la-ca-jc-sunshine-of-neglect-20190117-story.html
Tien Nguyen,1,female,http://www.latimes.com/food/la-fo-skid-row-housing-trust-20190117-story.html
Liza Grandia,1,female,http://www.latimes.com/opinion/op-ed/la-oe-grandia-guatemala-morales-20190117-story.html
Leonard L. Glass,2,male,https://www.bostonglobe.com/opinion/2019/02/07/institutional-silence-trump-mental-state/tnKDYYMQnD2TPYSrjbrzRJ/story.html?p1=BGMenu_Article
Dr. Kelli Ward,1,unknown,https://dailycaller.com/2019/01/17/ward-arizona-stronghold/
Kelly Shackelford,1,male,https://www.foxnews.com/opinion/kelly-shackelford-its-morning-in-america-again-for-religious-liberty
Kristan Hawkins,1,female,https://www.npr.org/2019/05/22/725634053/anti-abortion-rights-groups-push-gop-to-rethink-rape-and-incest-exceptions
Salvador Rodriguez,1,male,https://www.cnbc.com/2019/05/21/ex-facebook-security-chief-stamos-says-zuckerberg-should-hire-new-ceo.html
Patrick Strickland,2,male,https://www.politico.eu/article/kyriakos-mitsotakis-greece-trojan-trump-new-democracy-party/
Adam Levy,1,male,http://rss.cnn.com/~r/rss/cnn_topstories/~3/BPRbTxUEMAs/index.html
Rick Wilson,1,male,http://rss.cnn.com/~r/rss/cnn_topstories/~3/B4OnvhPEVnI/index.html
Jean Casarez,1,male,http://rss.cnn.com/~r/rss/cnn_topstories/~3/8Xus9F0HLEs/index.html
Cheri Mossburg,3,female,http://rss.cnn.com/~r/rss/cnn_topstories/~3/QT4VstOiIU0/index.html
Lauren Said-Moorhouse,2,male,http://rss.cnn.com/~r/rss/cnn_topstories/~3/G6dOQRpceYA/index.html
Sofia Barrett,1,female,http://rss.cnn.com/~r/rss/cnn_topstories/~3/_RpbhGI8P_g/index.html
Andrew Robinson,1,male,http://rss.cnn.com/~r/rss/cnn_topstories/~3/AtSkpVqv4N8/index.html
Eyder Peralta,5,unknown,https://www.npr.org/2019/06/09/731066090/sudan-protesters-stage-mass-civil-disobedience-in-latest-effort-to-end-military-
Mariel Garza,9,female,http://www.latimes.com/opinion/enterthefray/la-ol-carnival-environmental-crimes-20190604-story.html#nt=barker
Patrick Howley,2,male,https://www.infowars.com/kirsten-gillibrands-father-worked-for-nxivm-sex-cult-court-documents/#vuukle-comments
Sheli Paige Frank,1,unknown,https://www.nytimes.com/2019/01/19/neediest-cases/casita-maria-center-bronx.html
Mark Mazzetti,8,male,https://www.nytimes.com/2019/05/02/us/politics/fbi-government-investigator-trump.html
Michael Wines,10,male,http://www.nytimes.com/2019/05/30/us/census-citizenship-question-hofeller.html#commentsContainer
Eric Moskowitz,5,male,https://www.nytimes.com/2019/02/20/nyregion/the-complex-story-of-hulan-jack-the-first-black-boss-of-manhattan.html
Anastasia Edel,2,female,http://www.nytimes.com/2019/01/19/opinion/sunday/russia-trump-putin.html
Julie Schumacher,2,male,http://www.nytimes.com/2019/01/18/opinion/sunday/adjunct-instructor-syllabus.html
Trymaine Lee,2,unknown,http://www.nytimes.com/2019/01/19/opinion/sunday/heart-attack-young-men.html
Pamela Druckerman,6,female,https://www.nytimes.com/2019/05/28/opinion/johnny-hallyday-inheritance.html
Greg Weiner,7,male,https://www.nytimes.com/2019/06/30/opinion/trump-fallacy.html
Willy Staley,1,male,https://www.nytimes.com/2019/01/14/magazine/all-the-presidents-memes.html
Shaquille Heath,1,unknown,https://www.nytimes.com/2019/01/17/style/the-talk-being-black-in-america.html
Viet Thanh Nguyen,3,unknown,https://cn.nytimes.com/opinion/20190315/immigrants-refugees-names-nguyen/
Blake Richardson,34,male,http://www.latimes.com/sports/ucla/la-sp-ucla-oklahoma-softball-college-world-series-20190604-story.html
Julie Norin Fox,2,male,http://www.latimes.com/style/laaffairs/la-hm-la-affairs-julie-norin-fox-20190119-story.html#nt=barker
Russell Korobkin,1,male,http://www.latimes.com/local/education/espanol/la-es-por-que-la-huelga-de-maestros-de-los-angeles-puede-terminar-con-mucho-menos-dolor-que-el-cierre-del-20190118-story.html
Laura Newberry,39,female,http://www.latimes.com/local/lanow/la-me-ln-farallon-islands-rat-poison-20190707-story.html#nt=barker
Alex Wynne,1,male,http://www.latimes.com/fashion/la-ig-wwd-balmain-new-app-20190118-story.html
Scott Bradfield,2,male,http://www.latimes.com/books/la-ca-jc-review-ministry-truth-george-orwell-1984-20190613-story.html
Leslie Martini,1,male,https://www.bostonglobe.com/magazine/2019/01/18/the-magic-musicals/1aSe1uB0HY4XWDAAhFDkOK/story.html
Kate Tuttle,3,female,https://www.npr.org/2019/07/08/739523657/debut-book-tells-of-the-real-life-longings-and-frustrations-of-three-women
Marina Umaschi Bers,1,female,https://www.bostonglobe.com/magazine/2019/01/16/why-kindergartners-need-learn-code/zXbj39Jvhra7IYHRMbatyI/story.html
Diane Daniel,1,female,https://www.washingtonpost.com/lifestyle/travel/to-actually-tiptoe-through-tulips-go-here-instead-of-hollands-famed-keukenhof-park/2019/03/14/8ec993be-4106-11e9-9361-301ffb5bd5e6_story.html
Danielle Braff,1,female,https://www.washingtonpost.com/lifestyle/travel/instead-of--or-after--visiting-overwhelming-tokyo-chill-out-in-a-hot-spring-in-this-city/2019/05/16/15de6d18-70df-11e9-8be0-ca575670e91c_story.html
Amitha Kalaichandran,2,unknown,http://www.latimes.com/opinion/op-ed/la-oe-kalaichandran-vaccination-anti-vax-20190605-story.html
Erik Wasson,2,male,https://www.bostonglobe.com/news/politics/2019/02/15/trump-national-emergency-plan-splits-gop-after-mcconnell-backs/KJBXFxQr1wcaRWfXgnNKaP/story.html
Chuck Woolery,1,male,https://dailycaller.com/2019/01/17/woolery-democrats-feelings/
Ken Alltucker,1,male,https://www.usatoday.com/news/health/
Alicia Garza,2,female,http://www.nytimes.com/2019/05/28/opinion/black-census-alicia-garza.html
Kelly Mccleary,1,male,http://rss.cnn.com/~r/rss/cnn_topstories/~3/NxrH5KZEQww/index.html
Ravi Ubha,7,male,http://rss.cnn.com/~r/rss/cnn_topstories/~3/5E461l358SI/index.html
Roxanne Jones,8,female,http://rss.cnn.com/~r/rss/cnn_topstories/~3/pfp8NjdN730/index.html
Rachel Sklar,1,female,http://rss.cnn.com/~r/rss/cnn_topstories/~3/Le2jo1R5UXQ/index.html
Amanda Beam,1,female,http://rss.cnn.com/~r/rss/cnn_topstories/~3/tffJ1GklFKc/index.html
Michael Lansu,1,male,https://www.npr.org/2019/01/17/686097601/verdict-expected-for-chicago-cops-charged-in-cover-up-of-laquan-mcdonald-shootin
Uschi Jonas,10,unknown,https://www.huffingtonpost.de/entry/obdachlosigkeit-fast-1-million-menschen-sind-in-deutschland-wohnungslos-was-andere-lander-besser-machen_de_5c59afaae4b00187b5554b18?ncid=other_trending_qeesnbnu0l8&utm_campaign=trending
Jessica Ruhstorfer,2,female,http://www.huffingtonpost.de/entry/the-masked-singer-warum-die-ganze-welt-gerade-uber-diese-castingshow-spricht_de_5c3f2671e4b0e0baf5430f58?utm_hp_ref=de-homepage
Liane Bednarz,1,female,http://www.huffingtonpost.de/entry/inside-hocke-teil-2-die-aufstandsfantasien-des-afd-rechtsaussen_de_5c409e0ee4b041e98ffb808c?utm_hp_ref=de-homepage
Stephanie Murray,17,female,https://www.politico.com/story/2019/07/02/ed-markey-massachusetts-senate-seat-election-1394432
Nell Card,1,female,https://www.theguardian.com/lifeandstyle/2019/jan/19/looms-with-a-view-weavers-give-ancient-craft-a-modern-twist
Sali Hughes,5,unknown,https://www.theguardian.com/fashion/2019/apr/06/hydrating-foundation-make-up
Nick Cohen,18,male,https://www.theguardian.com/commentisfree/2019/jun/08/as-theresa-may-exits-stage-left-the-tories-dance-ever-rightward
Lolly Adefope,1,female,https://www.theguardian.com/global/commentisfree/2019/jan/19/self-care-calling-out-prejudice-lolly-adefope
Paul Rees,32,male,https://www.theguardian.com/sport/2019/may/09/tadhg-furlong-mako-vunipola-leinster-saracens-interview-champions-cup-final-rugby-union
John Hind,4,male,https://www.theguardian.com/tv-and-radio/2019/jun/15/tan-france-queer-eye-nightmare-in-the-kitchen
Killian Fox,9,male,https://www.theguardian.com/artanddesign/2019/jun/22/private-polaroids-robby-muller-cinematographer-arles-like-sunlight-coming-through-clouds
Simran Hans,12,female,https://www.theguardian.com/film/2019/jul/05/spider-man-far-from-home-review
James Mcmahon,4,male,https://www.theguardian.com/music/2019/jul/07/rammstein-review-pure-panto-from-german-shock-rockers
Tom Perkins,7,male,https://www.theguardian.com/technology/2019/jul/05/facebook-ads-2020-dark-money-funding-republican-trump-weapon
Mariah Haas,6,female,http://www.foxnews.com/entertainment/kim-kardashian-innocent-intentions-shapewear-name
Neal K. Katyal,5,male,http://www.nytimes.com/2019/06/17/opinion/trump-executive-privilege.html
Stosh Cotler,1,unknown,https://www.washingtonpost.com/opinions/2019/01/17/why-jewish-women-should-still-attend-womens-march/
Jim Rutenberg,9,male,http://www.nytimes.com/2019/06/18/us/trump-falwell-endorsement-michael-cohen.html#commentsContainer
Vivian Yee,6,female,http://www.nytimes.com/ar/2019/02/10/world/middleeast/princess-latifa-sheikha-dubai.html
Michael Kimmelman,13,male,https://www.nytimes.com/2019/05/15/arts/design/chicago-public-housing.html
Carol Giacomo,8,male,http://www.nytimes.com/2019/06/17/opinion/editorials/trump-human-rights-natural-law.html
Jeanne Theoharis,1,female,https://www.nytimes.com/2019/01/20/opinion/martin-luther-king-new-york.html
Jamie Malanowski,1,male,https://www.nytimes.com/2019/01/20/opinion/baseball-hall-of-fame-bill-james.html
Ilana Kaplan,4,female,https://www.npr.org/2019/05/30/727496243/first-listen-stef-chura-midnight
Jillian Steinhauer,1,female,https://www.nytimes.com/2019/01/20/arts/design/art-by-women-at-gracie-mansion.html
Wendy Macnaughton,2,female,https://www.nytimes.com/2019/02/01/business/zombie-killer-knives-montana.html
Anna Sauerbrey,5,female,http://www.nytimes.com/2019/07/08/opinion/berlin-socialism-housing.html
Anya Strzemien,1,female,https://cn.nytimes.com/style/20181228/11-ways-to-be-a-better-person-in-2019/
Elizabeth Paton,4,female,http://www.nytimes.com/2019/04/04/fashion/qatar-luxury-fashion-national-museum-blockade.html
Andy Mccullough,45,male,http://www.latimes.com/sports/angels/la-sp-jonathan-lucroy-injured-collision-astros-angels-20190707-story.html
Mike James,3,male,http://www.latimes.com/sports/more/la-sp-hugel-air-premia-la-open-lpga-20190428-story.html
Austin Knoblauch,17,male,http://www.latimes.com/sports/soccer/la-sp-megan-rapinoe-injured-uswnt-netherlands-20190707-story.html
Nate Scott,9,male,https://ftw.usatoday.com/2019/07/why-kyrie-irving-left-boston-for-brooklyn-nets
Jamie Gangel,1,male,http://rss.cnn.com/~r/rss/cnn_topstories/~3/D9mUbuEROFc/index.html
John Blake,4,male,http://rss.cnn.com/~r/rss/cnn_topstories/~3/KjBZ2EOzrX0/index.html
Dr. Edith Bracho-Sanchez,19,unknown,http://rss.cnn.com/~r/rss/cnn_topstories/~3/trAakJytOm8/index.html
Thomas Balcerski,1,male,http://rss.cnn.com/~r/rss/cnn_topstories/~3/marypSMyp3c/index.html
Clay Cane,2,male,http://rss.cnn.com/~r/rss/cnn_topstories/~3/5DPpT1zRlCE/index.html
Peniel Joseph,9,unknown,http://rss.cnn.com/~r/rss/cnn_topstories/~3/c7xUaP0bEJw/index.html
Nick Visser,1,male,https://www.huffingtonpost.com.au/2019/05/09/white-house-rescinds-some-press-passes-as-journalists-slam-new-attack-on-media_a_23723507/?utm_hp_ref=au-homepage
Matt Bagwell,4,male,https://www.huffingtonpost.com.au/entry/kevin-costner-reveals-the-one-thing-that-worried-princess-diana-about-starring-in-the-bodyguard-sequel_au_5d1b0aace4b07f6ca582b09b?utm_hp_ref=au-homepage
Matt Dixon,14,male,https://www.politico.com/states/florida/story/2019/07/09/steyer-hires-florida-veteran-to-lead-campaign-media-1091545
Julia Kollewe,6,female,https://www.theguardian.com/technology/2019/may/13/uber-ipo-flops-as-shares-slide-again
Carmela Fonbuena,6,female,https://www.theguardian.com/global-development/2019/jul/08/waste-recycling-smell-pollution-philippines-plastic-city
Gina Miller,2,female,https://www.theguardian.com/commentisfree/2019/feb/20/independent-group-real-opposition-brexit
Matthew O'Toole,3,male,https://www.theguardian.com/politics/2019/jan/21/may-drops-65-fee-for-eu-nationals-seeking-post-brexit-settled-status
Samira Ahmed,2,female,https://www.theguardian.com/commentisfree/2019/feb/24/pain-fiction-true-crime-drama
Gordon Brown,2,male,https://www.theguardian.com/commentisfree/2019/jul/05/labour-fight-antisemitism-radical-racism
Adharanand Finn,2,unknown,https://www.theguardian.com/lifeandstyle/2019/jun/02/how-the-sheer-hell-of-ultrarunning-led-me-to-a-strange-peace
Zach Vasquez,6,male,https://www.theguardian.com/tv-and-radio/2019/may/19/saturday-night-live-paul-rudd-trump-kate-mckinnon-season-finale
Liz Boulter,3,female,https://www.theguardian.com/travel/2019/mar/18/castello-santa-sever-rome-hostel-castle-beach-italy
Charlie Brinkhurst-Cuff,5,male,https://www.theguardian.com/football/2019/jul/06/womens-world-cup-stars-behind-the-scenes
Harriet Brown,1,female,http://washingtonpost.com/national/health-science/i-cut-off-all-contact-with-my-mother-it-made-my-life-much-better/2019/01/18/cc454e9e-1529-11e9-90a8-136fa44b80ba_story.html?tid=pm_pop
Gracy Olmstead,1,unknown,https://www.nytimes.com/2019/05/27/opinion/republicans-abortion-pro-life.html
Jon Marcus,1,male,https://www.npr.org/2018/12/12/668530699/-going-to-office-hours-is-terrifying-and-other-hurdles-for-rural-students-in-col
Noah Weiland,2,male,http://www.nytimes.com/2019/01/21/us/politics/trump-administration-russia-president.html
Art Cullen,9,male,https://www.theguardian.com/commentisfree/2019/may/18/democratic-2020-frontrunners-age
Olga Tokarczuk,1,female,https://www.nytimes.com/2019/01/21/opinion/gdansk-mayor-murder-poland.html
Christopher L. Pastore,1,male,https://www.nytimes.com/2019/01/21/opinion/how-the-irish-won-their-freedom.html
Peter Catapano,1,male,https://www.nytimes.com/2019/01/21/opinion/gary-gutting.html
Jonah Engel Bromwich,11,male,http://www.nytimes.com/2019/07/09/style/emma-chamberlain-youtube.html#commentsContainer
Aurelien Breeden,2,unknown,https://www.nytimes.com/2019/04/17/world/europe/donate-notre-dame-fire.html
Emily Baumgaertner,10,female,http://www.latimes.com/espanol/eeuu/la-es-lucy-jones-no-sintio-el-sismo-de-magnitud-7-1-pero-ayudo-al-mundo-a-comprenderlo-mejor-20190709-story.html
Tariq Panja,1,unknown,https://cn.nytimes.com/china/20190117/asian-cup-china-tattoos/
Ben Protess,4,male,https://www.nytimes.com/2019/02/04/us/politics/trump-inaugural-committee-subpoena.html#commentsContainer
Chaney Kwak,1,unknown,https://cn.nytimes.com/travel/20181102/what-to-do-in-singapore/
Mary Pipher,1,male,https://cn.nytimes.com/opinion/20190117/women-older-happiness/
Todd May,1,male,https://cn.nytimes.com/opinion/20190117/would-human-extinction-be-a-tragedy/
Tom Hoffarth,17,male,http://www.latimes.com/sports/la-sp-morning-briefing-20190614-story.html
Michael Piccione,1,male,https://dailycaller.com/2012/07/12/the-riflemans-winchester-and-little-joe-cartwrights-colt-go-up-for-auction/
Luis Miranda,1,male,https://dailycaller.com/2019/01/20/miranda-wall-confession/
Charles Curtis,33,male,https://ftw.usatoday.com/2019/07/watch-bryce-harper-and-caleb-smith-make-all-star-game-signage-but-not-all-stars
Rebecca Buck,5,female,http://rss.cnn.com/~r/rss/cnn_topstories/~3/k0YuGW9rb_M/index.html
Arlette Saenz,2,female,http://rss.cnn.com/~r/rss/cnn_topstories/~3/Fsi3vP1bohE/index.html
Ronald Brownstein,1,male,https://www.theatlantic.com/politics/archive/2019/05/joe-biden-winning-big-older-voters/589555/
Sugam Pokharel,1,unknown,http://rss.cnn.com/~r/rss/cnn_topstories/~3/twtlU3HwXkM/index.html
Ashley Strickland,60,male,http://rss.cnn.com/~r/rss/cnn_topstories/~3/4OL6uboy9TU/index.html
Jenn Morson,1,female,http://rss.cnn.com/~r/rss/cnn_topstories/~3/y2SxM7gxxbA/index.html
Susan Breslow,1,female,http://rss.cnn.com/~r/rss/cnn_topstories/~3/12RbIsxHYGk/index.html
Emilie Ruscoe,2,female,https://www.politico.com/story/2019/03/10/elizabeth-warren-tech-giants-1214832
Jeff Greenfield,24,male,https://www.politico.com/magazine/story/2019/06/28/democrats-debate-immigration-landmine-227247
Rebecca Roiphe,1,female,https://www.politico.com/magazine/story/2019/01/16/william-barr-trump-attorney-general-confirmation-hearings-224022
Holly Otterbein,49,male,https://www.politico.com/story/2019/07/08/trump-campaign-pennsylvania-gop-1401671
Victoria Bekiempis,24,female,https://www.theguardian.com/us-news/2019/jul/08/jeffrey-epstein-sex-trafficking-charges-court
Jeff Sparrow,7,male,https://www.theguardian.com/environment/2019/jun/15/australias-oldest-things-how-mind-boggling-timelines-meet-the-climate-emergency
Sarah Butler,3,female,https://www.theguardian.com/business/live/2019/jun/05/us-interest-rate-cut-expectations-markets-services-sector-uk-eurozone-business-live
Martin Rowson,3,male,https://www.theguardian.com/commentisfree/2019/jun/12/new-york-times-cartoonists-ban-antisemitism
Bhaskar Sunkara,7,unknown,https://www.theguardian.com/commentisfree/2019/jun/13/bernie-sanders-socialism-old-school-american-liberalism
Scott Mcintyre,1,male,https://www.theguardian.com/football/2019/jan/22/mat-ryan-stands-tall-but-shootout-euphoria-fails-to-mask-socceroos-problems
Luke Holland,6,male,https://www.theguardian.com/film/2019/may/23/star-wars-the-rise-of-skywalker-what-we-learned-vanity-fair
